Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
292 , 105287744,  105291948,  4204 , 1911759 
293 , 106256880,  106261095,  4215 , 1938283 
294 , 107209692,  107213918,  4226 , 1905635 
295 , 108175928,  108180165,  4237 , 1932483 
296 , 109125811,  109130061,  4250 , 1899779 
297 , 110089303,  110093564,  4261 , 1926995 
298 , 111036370,  111040644,  4274 , 1894147 
299 , 111997176,  112001463,  4287 , 1921625 
300 , 112941515,  112945813,  4298 , 1888689 
301 , 113899708,  113904019,  4311 , 1916399 
302 , 114841419,  114845741,  4322 , 1883433 
303 , 115797077,  115801410,  4333 , 1911327 
304 , 116736233,  116740577,  4344 , 1878323 
305 , 117689449,  117693805,  4356 , 1906444 
306 , 118626041,  118630411,  4370 , 1873198 
307 , 119576871,  119581253,  4382 , 1901672 
308 , 120511088,  120515482,  4394 , 1868446 
309 , 121459531,  121463935,  4404 , 1896896 
310 , 122391375,  122395792,  4417 , 1863701 
311 , 123337559,  123341989,  4430 , 1892381 
312 , 124267050,  124271491,  4441 , 1858993 
313 , 125211035,  125215487,  4452 , 1887981 
314 , 126138275,  126142739,  4464 , 1854492 
315 , 127080179,  127084655,  4476 , 1883820 
316 , 128005171,  128009660,  4489 , 1849997 
317 , 128945008,  128949507,  4499 , 1879684 
318 , 129867950,  129872462,  4512 , 1845897 
319 , 130805690,  130810214,  4524 , 1875492 
320 , 131726540,  131731078,  4538 , 1841714 
321 , 132662313,  132666861,  4548 , 1871556 
322 , 133581159,  133585718,  4559 , 1837703 
323 , 134515011,  134519582,  4571 , 1867716 
324 , 135431855,  135436439,  4584 , 1833701 
325 , 136363866,  136368458,  4592 , 1864030 
326 , 137278748,  137283355,  4607 , 1829779 
327 , 138208933,  138213552,  4619 , 1860382 
328 , 139121944,  139126575,  4631 , 1826034 
329 , 140050346,  140054989,  4643 , 1856816 
330 , 140961513,  140966167,  4654 , 1822345 
331 , 141888176,  141892841,  4665 , 1853337 
332 , 142797546,  142802225,  4679 , 1818754 
333 , 143722491,  143727182,  4691 , 1849902 
334 , 144630112,  144634815,  4703 , 1815254 
335 , 145553379,  145558094,  4715 , 1846546 
336 , 146459356,  146464082,  4726 , 1811965 
337 , 147381016,  147385753,  4737 , 1843331 
338 , 148285302,  148290052,  4750 , 1808585 
339 , 149205378,  149210139,  4761 , 1840163 
340 , 150108023,  150112797,  4774 , 1805303 
341 , 151026534,  151031318,  4784 , 1837032 
342 , 151927556,  151932355,  4799 , 1802059 
343 , 152844557,  152849367,  4810 , 1834013 
344 , 153743971,  153748794,  4823 , 1798841 
345 , 154659515,  154664347,  4832 , 1831097 
346 , 155557365,  155562212,  4847 , 1795715 
347 , 156471487,  156476343,  4856 , 1828253 
348 , 157367841,  157372712,  4871 , 1792723 
349 , 158280532,  158285413,  4881 , 1825392 
350 , 159175423,  159180318,  4895 , 1789796 
351 , 160086752,  160091658,  4906 , 1822669 
352 , 160980192,  160985110,  4918 , 1786892 
353 , 161890201,  161895132,  4931 , 1820031 
354 , 162782221,  162787164,  4943 , 1784052 
355 , 163690875,  163695829,  4954 , 1817319 
356 , 164581491,  164586458,  4967 , 1781245 
357 , 165488869,  165493847,  4978 , 1814767 
358 , 166378062,  166383054,  4992 , 1778400 
359 , 167284185,  167289188,  5003 , 1812257 
360 , 168172024,  168177040,  5016 , 1775691 
361 , 169076829,  169081856,  5027 , 1809621 
362 , 169963332,  169968372,  5040 , 1773019 
363 , 170866981,  170872032,  5051 , 1807309 
364 , 171752179,  171757243,  5064 , 1770409 
365 , 172654672,  172659747,  5075 , 1804997 
366 , 173538593,  173543684,  5091 , 1767858 
367 , 174439881,  174444982,  5101 , 1802586 
368 , 175322644,  175327758,  5114 , 1765539 
369 , 176222690,  176227817,  5127 , 1800105 
370 , 177104251,  177109389,  5138 , 1763133 
371 , 178003175,  178008324,  5149 , 1797859 
372 , 178883512,  178888674,  5162 , 1760687 
373 , 179781375,  179786549,  5174 , 1795738 
374 , 180660542,  180665728,  5186 , 1758346 
375 , 181557256,  181562455,  5199 , 1793441 
376 , 182435339,  182440551,  5212 , 1756179 
377 , 183331078,  183336300,  5222 , 1791488 
378 , 184207950,  184213186,  5236 , 1753758 
379 , 185102634,  185107881,  5247 , 1789379 
380 , 185978420,  185983681,  5261 , 1751586 
381 , 186872055,  186877328,  5273 , 1787282 
382 , 187746818,  187752103,  5285 , 1749538 
383 , 188639427,  188644725,  5298 , 1785231 
384 , 189513077,  189518388,  5311 , 1747313 
385 , 190404712,  190410033,  5321 , 1783280 
386 , 191277289,  191282623,  5334 , 1745167 
387 , 192167988,  192173334,  5346 , 1781410 
388 , 193039488,  193044847,  5359 , 1743013 
389 , 193929265,  193934636,  5371 , 1779566 
390 , 194799723,  194805106,  5383 , 1740928 
391 , 195688602,  195693999,  5397 , 1777772 
392 , 196558071,  196563480,  5409 , 1738950 
393 , 197446027,  197451447,  5420 , 1775923 
394 , 198314441,  198319876,  5435 , 1736843 
395 , 199201467,  199206913,  5446 , 1774063 
396 , 200068866,  200074326,  5460 , 1734812 
397 , 200955025,  200960497,  5472 , 1772330 
398 , 201821456,  201826940,  5484 , 1732874 
399 , 202706714,  202712210,  5496 , 1770528 
400 , 203572206,  203577716,  5510 , 1730998 
401 , 204456620,  204462141,  5521 , 1768839 
402 , 205321195,  205326731,  5536 , 1729165 
403 , 206204725,  206210272,  5547 , 1767071 
404 , 207068426,  207073988,  5562 , 1727417 
405 , 207951132,  207956705,  5573 , 1765423 
406 , 208813892,  208819477,  5585 , 1725532 
407 , 209695836,  209701432,  5596 , 1763899 
408 , 210557703,  210563314,  5611 , 1723749 
409 , 211438832,  211444455,  5623 , 1762270 
410 , 212299844,  212305479,  5635 , 1722036 
411 , 213180205,  213185853,  5648 , 1760735 
412 , 214040386,  214046047,  5661 , 1720375 
413 , 214919971,  214925644,  5673 , 1759182 
414 , 215779313,  215784999,  5686 , 1718697 
415 , 216658179,  216663879,  5700 , 1757746 
416 , 217516717,  217522427,  5710 , 1717086 
417 , 218394854,  218400575,  5721 , 1756285 
418 , 219252552,  219258288,  5736 , 1715411 
419 , 220129970,  220135719,  5749 , 1754849 
420 , 220986862,  220992626,  5764 , 1713799 
421 , 221863588,  221869361,  5773 , 1753461 
422 , 222719707,  222725493,  5786 , 1712251 
423 , 223595727,  223601525,  5798 , 1752052 
424 , 224451071,  224456882,  5811 , 1710701 
425 , 225326433,  225332257,  5824 , 1750737 
426 , 226181011,  226186848,  5837 , 1709169 
427 , 227055675,  227061523,  5848 , 1749339 
